id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
"1550580508047941633","A majority of Americans want access to safe, legal abortion services. Radical conservatives want to control women and the choices they should make for themselves. 

I will never give up fighting for women and their right to choose. 
https://t.co/KZIobKQaV7","2022-07-22T20:36:16.000Z","19318314",,"en","{""created_at"":""2009-01-22T01:00:32.000Z"",""verified"":true,""public_metrics"":{""followers_count"":40655,""following_count"":995,""tweet_count"":6739,""listed_count"":1476},""description"":""United States Senator for New Mexico"",""protected"":false,""url"":""https://t.co/XrDWdFiStS"",""pinned_tweet_id"":""1377047772130635780"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/XrDWdFiStS"",""expanded_url"":""http://lujan.senate.gov"",""display_url"":""lujan.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1387056181861040128/LqbW4kWp_normal.jpg"",""username"":""SenatorLujan"",""id"":""19318314"",""name"":""Senator Ben Ray Luján""}","{""urls"":[{""start"":233,""end"":256,""url"":""https://t.co/KZIobKQaV7"",""expanded_url"":""https://www.santafenewmexican.com/news/poll-majority-in-u-s-want-legal-abortion-nationally/article_d9913d1a-d121-5f36-905f-aa638795cf9e.html"",""display_url"":""santafenewmexican.com/news/poll-majo…"",""status"":200,""title"":""Poll: Majority in U.S. want legal abortion nationally"",""description"":""The poll shows many Americans back some restrictions on abortion, especially after the first trimester, but the most extreme measures introduced in some Republican-led states are at odds with the"",""unwound_url"":""https://www.santafenewmexican.com/news/poll-majority-in-u-s-want-legal-abortion-nationally/article_d9913d1a-d121-5f36-905f-aa638795cf9e.html""}]}",,,
"1550212130737197057","RT @NARAL: ICYMI: The U.S. House passed the #RightToContraception Act today. Now, it's up to the Senate to pass @SenMarkey’s Right to Contr…","2022-07-21T20:12:28.000Z","21406834",,"en","{""created_at"":""2009-02-20T15:49:29.000Z"",""verified"":true,""public_metrics"":{""followers_count"":252867,""following_count"":1823,""tweet_count"":19078,""listed_count"":3734},""description"":""US Senator for Massachusetts. Chair of Subcommittees on Clean Air, Climate & Nuclear Safety and on East Asia & the Pacific. Fighting for a Green New Deal."",""location"":""Massachusetts"",""protected"":false,""url"":""https://t.co/6caagiIDWf"",""pinned_tweet_id"":""1490739254577840129"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6caagiIDWf"",""expanded_url"":""http://www.markey.senate.gov/"",""display_url"":""markey.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1381638402123137025/5dxEITqR_normal.jpg"",""username"":""SenMarkey"",""id"":""21406834"",""name"":""Ed Markey""}","{""hashtags"":[{""start"":44,""end"":65,""tag"":""RightToContraception""}],""annotations"":[{""start"":22,""end"":31,""probability"":0.6306,""type"":""Place"",""normalized_text"":""U.S. House""},{""start"":97,""end"":102,""probability"":0.5569,""type"":""Organization"",""normalized_text"":""Senate""}],""mentions"":[{""start"":3,""end"":9,""username"":""NARAL"",""id"":""17006036""},{""start"":112,""end"":122,""username"":""SenMarkey"",""id"":""21406834""}]}","[{""type"":""retweeted"",""id"":""1550211143221796864"",""created_at"":""2022-07-21T20:08:32.000Z"",""entities"":{""urls"":[{""start"":230,""end"":253,""url"":""https://t.co/elE5f4Z4cH"",""expanded_url"":""https://naral.us/rtcapressrelease"",""display_url"":""naral.us/rtcapressrelea…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550170962808766465/vIo3KgJw?format=jpg&name=orig"",""width"":1200,""height"":630},{""url"":""https://pbs.twimg.com/news_img/1550170962808766465/vIo3KgJw?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""NARAL Pro-Choice America Applauds Passage of the Right to Contraception Act - NARAL Pro-Choice America"",""description"":""Washington, DC — Today, the U.S. House of Representatives, led by House Democrats, passed the Right to Contraception Act by a vote of 228-195. It now moves to the Senate. This legislation would protect the right to contraception throughout the United States at a time when extremist lawmakers in multiple states are enforcing total bans on abortion after the U.S. Supreme Court overturned Roe v. Wade. “While we applaud the passage of this bill, Americans should be outraged that we have to act to protect"",""unwound_url"":""https://www.prochoiceamerica.org/2022/07/21/naral-pro-choice-america-applauds-passage-of-the-right-to-contraception-act/""}],""hashtags"":[{""start"":33,""end"":54,""tag"":""RightToContraception""}],""annotations"":[{""start"":11,""end"":20,""probability"":0.6029,""type"":""Place"",""normalized_text"":""U.S. House""},{""start"":86,""end"":91,""probability"":0.6682,""type"":""Organization"",""normalized_text"":""Senate""}],""mentions"":[{""start"":101,""end"":111,""username"":""SenMarkey"",""id"":""21406834""}]},""conversation_id"":""1550211143221796864"",""lang"":""en"",""text"":""ICYMI: The U.S. House passed the #RightToContraception Act today. Now, it's up to the Senate to pass @SenMarkey’s Right to Contraception Act and protect EVERY body against attacks on this right and uphold access to contraception. https://t.co/elE5f4Z4cH"",""context_annotations"":[{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""877326946253684737"",""name"":""United States Senate"",""description"":""United States Senate""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""897916387829481472"",""name"":""United States House of Representatives"",""description"":""United States House of Representatives""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}}],""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":21,""reply_count"":4,""like_count"":48,""quote_count"":1},""source"":""Twitter Web App"",""possibly_sensitive"":false,""author_id"":""17006036""}]",,
"1550204056236433409","RT @SpainInTheUSA: VP @Yolanda_Diaz_ met with @BernieSanders, Rep. @Ilhan &amp; @SenatorLujan yesterday in DC.

Their discussions ranged from #…","2022-07-21T19:40:23.000Z","19318314",,"en","{""created_at"":""2009-01-22T01:00:32.000Z"",""verified"":true,""public_metrics"":{""followers_count"":40655,""following_count"":995,""tweet_count"":6739,""listed_count"":1476},""description"":""United States Senator for New Mexico"",""protected"":false,""url"":""https://t.co/XrDWdFiStS"",""pinned_tweet_id"":""1377047772130635780"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/XrDWdFiStS"",""expanded_url"":""http://lujan.senate.gov"",""display_url"":""lujan.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1387056181861040128/LqbW4kWp_normal.jpg"",""username"":""SenatorLujan"",""id"":""19318314"",""name"":""Senator Ben Ray Luján""}","{""annotations"":[{""start"":103,""end"":104,""probability"":0.9461,""type"":""Place"",""normalized_text"":""DC""}],""mentions"":[{""start"":3,""end"":17,""username"":""SpainInTheUSA"",""id"":""1262812754""},{""start"":22,""end"":36,""username"":""Yolanda_Diaz_"",""id"":""761862806""},{""start"":46,""end"":60,""username"":""BernieSanders"",""id"":""216776631""},{""start"":67,""end"":73,""username"":""Ilhan"",""id"":""1082334352711790593""},{""start"":80,""end"":93,""username"":""SenatorLujan"",""id"":""19318314""}]}","[{""type"":""retweeted"",""id"":""1550103148852924416"",""created_at"":""2022-07-21T12:59:24.000Z"",""entities"":{""urls"":[{""start"":285,""end"":308,""url"":""https://t.co/3KI9GrzSCX"",""expanded_url"":""https://twitter.com/SpainInTheUSA/status/1550103148852924416/photo/1"",""display_url"":""pic.twitter.com/3KI9GrzSCX"",""media_key"":""3_1550101493314949121""},{""start"":285,""end"":308,""url"":""https://t.co/3KI9GrzSCX"",""expanded_url"":""https://twitter.com/SpainInTheUSA/status/1550103148852924416/photo/1"",""display_url"":""pic.twitter.com/3KI9GrzSCX"",""media_key"":""3_1550101552773357569""},{""start"":285,""end"":308,""url"":""https://t.co/3KI9GrzSCX"",""expanded_url"":""https://twitter.com/SpainInTheUSA/status/1550103148852924416/photo/1"",""display_url"":""pic.twitter.com/3KI9GrzSCX"",""media_key"":""3_1550101575862984705""}],""hashtags"":[{""start"":123,""end"":137,""tag"":""ClimateChange""}],""annotations"":[{""start"":84,""end"":85,""probability"":0.9715,""type"":""Place"",""normalized_text"":""DC""}],""mentions"":[{""start"":3,""end"":17,""username"":""Yolanda_Diaz_"",""id"":""761862806""},{""start"":27,""end"":41,""username"":""BernieSanders"",""id"":""216776631""},{""start"":48,""end"":54,""username"":""Ilhan"",""id"":""1082334352711790593""},{""start"":61,""end"":74,""username"":""SenatorLujan"",""id"":""19318314""}]},""conversation_id"":""1550103148852924416"",""lang"":""en"",""text"":""VP @Yolanda_Diaz_ met with @BernieSanders, Rep. @Ilhan &amp; @SenatorLujan yesterday in DC.\n\nTheir discussions ranged from #ClimateChange to protecting democracy, civil liberties, reproductive rights &amp; vulnerable populations, all within the context of strengthening 🇪🇸🇺🇸relations. https://t.co/3KI9GrzSCX"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10037721459"",""name"":""Bernie Sanders"",""description"":""US Senator Bernie Sanders (VT)\n""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10037721459"",""name"":""Bernie Sanders"",""description"":""US Senator Bernie Sanders (VT)\n""}}],""attachments"":{""media_keys"":[""3_1550101493314949121"",""3_1550101552773357569"",""3_1550101575862984705""]},""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":36,""reply_count"":15,""like_count"":188,""quote_count"":3},""source"":""Twitter Web App"",""possibly_sensitive"":false,""author_id"":""1262812754""}]",,
"1550199024543842304","For decades, #TitleX has helped people in Hawaii &amp; across our country access family planning services.

But Trump's gag rule caused millions of people to lose access to these vital services.

With reproductive rights under attack, it's critical we strengthen &amp; protect Title X. https://t.co/rqCYGjjIoO","2022-07-21T19:20:23.000Z","92186819",,"en","{""created_at"":""2009-11-24T03:10:37.000Z"",""verified"":true,""public_metrics"":{""followers_count"":520524,""following_count"":1611,""tweet_count"":7575,""listed_count"":3571},""description"":""U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii"",""location"":""Hawaii"",""protected"":false,""url"":""http://t.co/m4u3CFOBHg"",""pinned_tweet_id"":""1395494702493884417"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/m4u3CFOBHg"",""expanded_url"":""http://www.hirono.senate.gov"",""display_url"":""hirono.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1130916929957445632/mkavgyCa_normal.jpg"",""username"":""maziehirono"",""id"":""92186819"",""name"":""Senator Mazie Hirono""}","{""urls"":[{""start"":286,""end"":309,""url"":""https://t.co/rqCYGjjIoO"",""expanded_url"":""https://twitter.com/maziehirono/status/1550199024543842304/video/1"",""display_url"":""pic.twitter.com/rqCYGjjIoO"",""media_key"":""13_1550198026878214145""}],""hashtags"":[{""start"":13,""end"":20,""tag"":""TitleX""}],""annotations"":[{""start"":42,""end"":47,""probability"":0.9912,""type"":""Place"",""normalized_text"":""Hawaii""},{""start"":108,""end"":112,""probability"":0.9952,""type"":""Person"",""normalized_text"":""Trump""}]}",,"[{""media_key"":""13_1550198026878214145"",""type"":""video""}]",
"1550192496914866178","RT @SenWarren: The Supreme Court overturned #RoeVWade, and now student surveillance software could put students seeking information about r…","2022-07-21T18:54:27.000Z","21406834",,"en","{""created_at"":""2009-02-20T15:49:29.000Z"",""verified"":true,""public_metrics"":{""followers_count"":252867,""following_count"":1823,""tweet_count"":19078,""listed_count"":3734},""description"":""US Senator for Massachusetts. Chair of Subcommittees on Clean Air, Climate & Nuclear Safety and on East Asia & the Pacific. Fighting for a Green New Deal."",""location"":""Massachusetts"",""protected"":false,""url"":""https://t.co/6caagiIDWf"",""pinned_tweet_id"":""1490739254577840129"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6caagiIDWf"",""expanded_url"":""http://www.markey.senate.gov/"",""display_url"":""markey.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1381638402123137025/5dxEITqR_normal.jpg"",""username"":""SenMarkey"",""id"":""21406834"",""name"":""Ed Markey""}","{""hashtags"":[{""start"":44,""end"":53,""tag"":""RoeVWade""}],""mentions"":[{""start"":3,""end"":13,""username"":""SenWarren"",""id"":""970207298""}]}","[{""type"":""retweeted"",""id"":""1550187561372553217"",""created_at"":""2022-07-21T18:34:50.000Z"",""entities"":{""urls"":[{""start"":250,""end"":273,""url"":""https://t.co/Fq9WDCVDCc"",""expanded_url"":""https://www.bloomberg.com/news/articles/2022-07-21/senators-question-school-surveillance-startups-on-abortion-searches"",""display_url"":""bloomberg.com/news/articles/…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550080882245046272/wpoviq2-?format=jpg&name=orig"",""width"":1200,""height"":800},{""url"":""https://pbs.twimg.com/news_img/1550080882245046272/wpoviq2-?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Senators Question School Surveillance Startups on Abortion Searches"",""description"":""Education startups are among a growing cohort of tech companies now facing scrutiny over their handling of reproductive health data."",""unwound_url"":""https://www.bloomberg.com/news/articles/2022-07-21/senators-question-school-surveillance-startups-on-abortion-searches""}],""hashtags"":[{""start"":29,""end"":38,""tag"":""RoeVWade""}],""annotations"":[{""start"":4,""end"":16,""probability"":0.3711,""type"":""Organization"",""normalized_text"":""Supreme Court""}],""mentions"":[{""start"":177,""end"":187,""username"":""SenMarkey"",""id"":""21406834""}]},""conversation_id"":""1550187561372553217"",""lang"":""en"",""text"":""The Supreme Court overturned #RoeVWade, and now student surveillance software could put students seeking information about reproductive health at risk of criminal penalties. \n \n@SenMarkey and I want to know how these companies will protect students. https://t.co/Fq9WDCVDCc"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10045102759"",""name"":""Elizabeth Warren"",""description"":""US Senator Elizabeth Warren (MA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10045102759"",""name"":""Elizabeth Warren"",""description"":""US Senator Elizabeth Warren (MA)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}}],""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":147,""reply_count"":91,""like_count"":465,""quote_count"":12},""source"":""Twitter Web App"",""possibly_sensitive"":false,""author_id"":""970207298""}]",,
"1550185758992080896","The House just passed the Right to Contraception Act, which I’ve introduced in the Senate. Now the Senate must do the same and codify this essential right. We have to fight back against this illegitimate Supreme Court majority. https://t.co/ZqlnqTJtAI","2022-07-21T18:27:40.000Z","21406834",,"en","{""created_at"":""2009-02-20T15:49:29.000Z"",""verified"":true,""public_metrics"":{""followers_count"":252867,""following_count"":1823,""tweet_count"":19078,""listed_count"":3734},""description"":""US Senator for Massachusetts. Chair of Subcommittees on Clean Air, Climate & Nuclear Safety and on East Asia & the Pacific. Fighting for a Green New Deal."",""location"":""Massachusetts"",""protected"":false,""url"":""https://t.co/6caagiIDWf"",""pinned_tweet_id"":""1490739254577840129"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6caagiIDWf"",""expanded_url"":""http://www.markey.senate.gov/"",""display_url"":""markey.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1381638402123137025/5dxEITqR_normal.jpg"",""username"":""SenMarkey"",""id"":""21406834"",""name"":""Ed Markey""}","{""urls"":[{""start"":228,""end"":251,""url"":""https://t.co/ZqlnqTJtAI"",""expanded_url"":""https://twitter.com/kylegriffin1/status/1550157670128275457"",""display_url"":""twitter.com/kylegriffin1/s…""}],""annotations"":[{""start"":83,""end"":88,""probability"":0.5718,""type"":""Organization"",""normalized_text"":""Senate""},{""start"":99,""end"":104,""probability"":0.6681,""type"":""Organization"",""normalized_text"":""Senate""}]}","[{""type"":""quoted"",""id"":""1550157670128275457"",""created_at"":""2022-07-21T16:36:03.000Z"",""entities"":{""urls"":[{""start"":116,""end"":139,""url"":""https://t.co/iBk0caLwO6"",""expanded_url"":""https://twitter.com/kylegriffin1/status/1550153629436297217"",""display_url"":""twitter.com/kylegriffin1/s…""}],""annotations"":[{""start"":56,""end"":66,""probability"":0.6252,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":79,""end"":87,""probability"":0.7835,""type"":""Organization"",""normalized_text"":""Democrats""}]},""conversation_id"":""1550157670128275457"",""lang"":""en"",""text"":""The Right to Contraception Act passed 228-195. \n\nJust 8 Republicans joined all Democrats in supporting the measure. https://t.co/iBk0caLwO6"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""1054463473948577792"",""name"":""Kyle Griffin"",""description"":""Kyle Griffin""}},{""domain"":{""id"":""46"",""name"":""Brand Category"",""description"":""Categories within Brand Verticals that narrow down the scope of Brands""},""entity"":{""id"":""781974596157181956"",""name"":""Online Site""}},{""domain"":{""id"":""47"",""name"":""Brand"",""description"":""Brands and Companies""},""entity"":{""id"":""10047963346"",""name"":""Reuters"",""description"":""Reuters""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}},{""domain"":{""id"":""94"",""name"":""Journalist"",""description"":""A journalist like 'Anderson Cooper'""},""entity"":{""id"":""1054463473948577792"",""name"":""Kyle Griffin"",""description"":""Kyle Griffin""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""897916387829481472"",""name"":""United States House of Representatives"",""description"":""United States House of Representatives""}}],""referenced_tweets"":[{""type"":""quoted"",""id"":""1550153629436297217""}],""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":687,""reply_count"":115,""like_count"":2494,""quote_count"":88},""source"":""Twitter for iPhone"",""possibly_sensitive"":false,""author_id"":""32871086""}]",,
"1549861776862416898","We should never sit by as the Supreme Court considers taking away a right to contraception.

Our Right to Contraception Act will codify this constitutional right and protect access to all reproductive health care.","2022-07-20T21:00:17.000Z","1318728336923787264",,"en","{""created_at"":""2020-10-21T01:38:38.000Z"",""verified"":true,""public_metrics"":{""followers_count"":32038,""following_count"":398,""tweet_count"":1551,""listed_count"":385},""description"":""Proudly serving the people of Colorado in the U.S. Senate."",""location"":""Colorado"",""protected"":false,""url"":""https://t.co/N3g1U9WPvs"",""pinned_tweet_id"":""1549502741797634050"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N3g1U9WPvs"",""expanded_url"":""https://www.hickenlooper.senate.gov/"",""display_url"":""hickenlooper.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1345571465660399618/CRru144A_normal.jpg"",""username"":""SenatorHick"",""id"":""1318728336923787264"",""name"":""Senator John Hickenlooper""}","{""annotations"":[{""start"":30,""end"":42,""probability"":0.8596,""type"":""Organization"",""normalized_text"":""Supreme Court""}]}",,,
"1549811401153253376","For this far-right Supreme Court and MAGA Republicans, controlling women’s bodies doesn’t stop at forcing women to give birth. They actually want to ban contraception.
 
@SenMarkey, @SenDuckworth, and I are leading the fight to protect the fundamental right to contraception. https://t.co/rUCH8FEXnw","2022-07-20T17:40:06.000Z","92186819",,"en","{""created_at"":""2009-11-24T03:10:37.000Z"",""verified"":true,""public_metrics"":{""followers_count"":520524,""following_count"":1611,""tweet_count"":7575,""listed_count"":3571},""description"":""U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii"",""location"":""Hawaii"",""protected"":false,""url"":""http://t.co/m4u3CFOBHg"",""pinned_tweet_id"":""1395494702493884417"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/m4u3CFOBHg"",""expanded_url"":""http://www.hirono.senate.gov"",""display_url"":""hirono.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1130916929957445632/mkavgyCa_normal.jpg"",""username"":""maziehirono"",""id"":""92186819"",""name"":""Senator Mazie Hirono""}","{""urls"":[{""start"":276,""end"":299,""url"":""https://t.co/rUCH8FEXnw"",""expanded_url"":""https://twitter.com/SenMarkey/status/1549764459295555584"",""display_url"":""twitter.com/SenMarkey/stat…""}],""mentions"":[{""start"":170,""end"":180,""username"":""SenMarkey"",""id"":""21406834""},{""start"":182,""end"":195,""username"":""SenDuckworth"",""id"":""1058520120""}]}","[{""type"":""quoted"",""id"":""1549764459295555584"",""created_at"":""2022-07-20T14:33:34.000Z"",""entities"":{""urls"":[{""start"":277,""end"":300,""url"":""https://t.co/AnAoRWPsnX"",""expanded_url"":""https://twitter.com/SenMarkey/status/1549764459295555584/photo/1"",""display_url"":""pic.twitter.com/AnAoRWPsnX"",""media_key"":""3_1549764453864022016""}],""annotations"":[{""start"":9,""end"":21,""probability"":0.6744,""type"":""Organization"",""normalized_text"":""Supreme Court""}]},""conversation_id"":""1549764459295555584"",""lang"":""en"",""text"":""A stolen Supreme Court has taken away the right to abortion, and they are just getting started. We cannot sit idly by. I'm proud to introduce the Right to Contraception Act to codify this fundamental right and prevent this Court from committing another grave act of injustice. https://t.co/AnAoRWPsnX"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}}],""attachments"":{""media_keys"":[""3_1549764453864022016""]},""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":42,""reply_count"":11,""like_count"":180,""quote_count"":4},""source"":""Twitter for iPhone"",""possibly_sensitive"":false,""author_id"":""21406834""}]",,
"1549786115011477506","Americans should have access to contraception regardless of where they live. That’s why today I cosponsored legislation to codify Americans’ right to contraception.","2022-07-20T15:59:38.000Z","172858784",,"en","{""created_at"":""2010-07-30T20:00:32.000Z"",""verified"":true,""public_metrics"":{""followers_count"":998224,""following_count"":771,""tweet_count"":11653,""listed_count"":5813},""description"":""Anne Holton’s husband, Dad of 3, Stone Irish, public servant, musician, civil rights lawyer, backpacker."",""location"":""Richmond, VA"",""protected"":false,""url"":""https://t.co/YNK0Xrmt2G"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/YNK0Xrmt2G"",""expanded_url"":""http://timkaine.com"",""display_url"":""timkaine.com""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/922472118377476096/XqCk_uDv_normal.jpg"",""username"":""timkaine"",""id"":""172858784"",""name"":""Tim Kaine""}","{""annotations"":[{""start"":0,""end"":8,""probability"":0.5713,""type"":""Person"",""normalized_text"":""Americans""}]}",,,
"1549764466513960961","The right to contraception is central to an individual’s privacy, health, and wellbeing. My bill will protect individuals who use contraceptives and the healthcare providers who prescribe them. https://t.co/OIzI0oLcbq","2022-07-20T14:33:36.000Z","21406834","21406834","en","{""created_at"":""2009-02-20T15:49:29.000Z"",""verified"":true,""public_metrics"":{""followers_count"":252867,""following_count"":1823,""tweet_count"":19078,""listed_count"":3734},""description"":""US Senator for Massachusetts. Chair of Subcommittees on Clean Air, Climate & Nuclear Safety and on East Asia & the Pacific. Fighting for a Green New Deal."",""location"":""Massachusetts"",""protected"":false,""url"":""https://t.co/6caagiIDWf"",""pinned_tweet_id"":""1490739254577840129"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6caagiIDWf"",""expanded_url"":""http://www.markey.senate.gov/"",""display_url"":""markey.senate.gov""}]}},""profile_image_url"":""https://pbs.twimg.com/profile_images/1381638402123137025/5dxEITqR_normal.jpg"",""username"":""SenMarkey"",""id"":""21406834"",""name"":""Ed Markey""}","{""urls"":[{""start"":194,""end"":217,""url"":""https://t.co/OIzI0oLcbq"",""expanded_url"":""https://twitter.com/SenMarkey/status/1549764466513960961/photo/1"",""display_url"":""pic.twitter.com/OIzI0oLcbq"",""media_key"":""3_1549764461791268865""}]}","[{""type"":""replied_to"",""id"":""1549764459295555584"",""created_at"":""2022-07-20T14:33:34.000Z"",""entities"":{""urls"":[{""start"":277,""end"":300,""url"":""https://t.co/AnAoRWPsnX"",""expanded_url"":""https://twitter.com/SenMarkey/status/1549764459295555584/photo/1"",""display_url"":""pic.twitter.com/AnAoRWPsnX"",""media_key"":""3_1549764453864022016""}],""annotations"":[{""start"":9,""end"":21,""probability"":0.6744,""type"":""Organization"",""normalized_text"":""Supreme Court""}]},""conversation_id"":""1549764459295555584"",""lang"":""en"",""text"":""A stolen Supreme Court has taken away the right to abortion, and they are just getting started. We cannot sit idly by. I'm proud to introduce the Right to Contraception Act to codify this fundamental right and prevent this Court from committing another grave act of injustice. https://t.co/AnAoRWPsnX"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""890706903164100608"",""name"":""Ed Markey"",""description"":""US Senator Ed Markey (MA)""}}],""attachments"":{""media_keys"":[""3_1549764453864022016""]},""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":42,""reply_count"":11,""like_count"":180,""quote_count"":4},""source"":""Twitter for iPhone"",""possibly_sensitive"":false,""author_id"":""21406834""}]","[{""media_key"":""3_1549764461791268865"",""type"":""photo""}]",
